# Weight Table Information
#
#    Name:                        Supine
#    Time Stamp:                  Thu Sep  6 14:12:52 2018
#    Table Version:               2 (Variable Size)
#    Entry Size:                  0 bytes
#    Total Entries:               248
#    Number of Analog References: 3
#    Number of DSP Reference:     23
#    Description:                 
#
#               Analog Ref.            DSP Ref.                                                                                                                                                                                                                            
#
Entry  Channel  MCxA    MCyA    MCzA      MLzA       MLyA       MLzaA      MLyaA      MLxA       MLxaA      MRzA       MRxA       MRzaA      MRxaA      MRyA       MCzA       MRyaA      MCzaA      MCyA       GzxA       MCyaA      MCxA       MCxaA      GyyA       GzyA       GxxA       GyxA       
70     A50      -979    267     -535      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.304019   0.000000   0.046557   0.311620  -0.593064  -0.003107   0.420910  -0.058786  -0.018419   0.138928  -0.403422  -0.262242 
71     A188     1046    -613    -415      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.114721   0.000000  -0.096082  -0.147498   1.004064  -0.048287  -0.177190   0.175871   0.261907  -0.497146   1.035455   0.166684 
72     A231     147     -1209   -31       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.151578   0.000000   0.036574  -0.164250   0.245709  -0.021329  -0.152352   0.073205   0.256078  -0.938365  -0.078128   0.629554 
73     A45      -456    -744    -682      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.478472   0.000000   0.036156   0.447337  -0.306016  -0.044195   0.501992  -0.018536   0.074477  -0.343130  -0.261915  -0.261596 
74     A180     162     -1229   -31       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.124312   0.000000   0.032061  -0.070222   0.252624  -0.013162  -0.098431   0.058643   0.247425  -0.893434  -0.126574   0.332766 
75     A99      -356    -1097   -309      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.521782   0.000000   0.034750   0.389844  -0.203332  -0.042868   0.387992   0.005765   0.179710  -0.651793  -0.347397   0.044397 
76     A234     -522    -929    237       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.296580   0.000000   0.092165   0.284220  -0.534920   0.024513   0.289124  -0.030193  -0.134520  -0.787241  -1.044902   0.264507 
77     A215     -407    -986    180       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.494923   0.000000   0.072065   0.287384  -0.361643   0.011243   0.377377  -0.015707  -0.071214  -0.828339  -0.841042   0.313577 
78     A235     -771    -799    341       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.457157   0.000000   0.109934   0.400957  -0.871205   0.034484   0.435462  -0.063847  -0.256956  -0.711281  -1.314264   0.279041 
79     A181     415     1028    -206      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.166586   0.000000  -0.079517   0.106098   0.307359  -0.000291   0.196607  -0.004268  -0.007295   0.804554   0.772497  -0.342039 
80     A38      -414    280     1016      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.251147   0.000000  -0.064513  -0.308537   0.563001  -0.019487  -0.226345   0.013336   0.141488   0.039933  -0.252324   0.423928 
81     A230     -297    1156    66        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.314548   0.000000  -0.024327   0.250390  -0.416330   0.035495   0.403709  -0.095201  -0.248443   0.891193  -0.125151  -0.659626 
82     A91      -787    562     741       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.358944   0.000000  -0.041283   0.297492   0.084125  -0.000643   0.480041  -0.072636  -0.037160   0.205638  -0.979164   0.003691 
83     A212     -375    1232    115       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.357668   0.000000  -0.019330   0.292478  -0.464953   0.050646   0.522479  -0.105002  -0.216029   0.847077  -0.252275  -0.697000 
84     A24      247     539     926       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.122083   0.000000  -0.036879  -0.241391   0.361928   0.019350  -0.064469   0.015529   0.060302   0.275321   0.165076   0.293441 
85     A66      -97     -975    -577      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.175268   0.000000   0.043859  -0.131249  -0.260655  -0.062771  -0.222409   0.024668   0.127295  -0.429762  -0.128172   0.100550 
86     A42      201     833     809       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.036312   0.000000  -0.042341  -0.098914   0.376102   0.032750   0.066767   0.000056  -0.010644   0.485405   0.177478   0.184185 
87     A96      -18     -1131   -393      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.150020   0.000000   0.021452   0.066499  -0.082259  -0.072850   0.192120   0.036319   0.232692  -0.611451  -0.012824   0.302098 
88     A57      -219    844     -834      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.616370   0.000000   0.019248   0.526293  -0.429967   0.058382   0.767252  -0.075174  -0.118872   0.694850  -0.357934  -1.137624 
